模型,input_per_1M_USD,cached_input_per_1M_USD,output_per_1M_USD,价格口径,备注
GPT-5.5,5.00,0.50,30.00,标准价,2026-04-23发布；>272K上下文按2x input/1.5x output
GPT-5.4,2.50,,15.00,标准价,2026-03-05发布；1.1M上下文
GPT-5.4 Mini,0.75,,4.50,标准价,
GPT-5.4 Nano,0.20,,1.25,标准价,
GPT-4o,2.50,1.25,10.00,标准价,128K上下文
GPT-4.1,2.00,,8.00,标准价,1.05M上下文
Claude Opus 4.7,5.00,0.50,25.00,标准价,1M上下文；新tokenizer可能多产35%token
Claude Opus 4.6,5.00,0.50,25.00,标准价,1M上下文
Claude Sonnet 4.6,3.00,0.30,15.00,标准价,1M上下文
Claude Haiku 4.5,1.00,0.10,5.00,标准价,200K上下文
Gemini 2.5 Pro,1.25,,10.00,标准价(≤200K),>200K按$2.50/$15.00
Gemini 2.5 Flash,0.30,,2.50,标准价,
Gemini 2.5 Flash-Lite,0.10,,0.40,标准价,
DeepSeek R1,0.55,0.14,2.19,标准价,推理模型
DeepSeek V3.2,0.28,,0.42,标准价,通用对话
